Freq.	Ic(Q8)
Step Information: Cl=1µ  (Step: 1/2)
2.13796208950222e+02	(6.99710864837918e+01dB,-8.74705646892805e+01°)
2.18776162394954e+02	(6.97716238842656e+01dB,-8.75608719129805e+01°)
2.23872113856832e+02	(6.95721290978433e+01dB,-8.76498985804521e+01°)
2.29086765276776e+02	(6.93726031852092e+01dB,-8.77376909166122e+01°)
2.34422881531991e+02	(6.91730471420599e+01dB,-8.78242945469922e+01°)
2.39883291901947e+02	(6.89734619011259e+01dB,-8.79097545181624e+01°)
2.45470891568501e+02	(6.87738483340778e+01dB,-8.79941153172015e+01°)
2.51188643150956e+02	(6.85742072533079e+01dB,-8.80774208914084e+01°)
2.57039578276885e+02	(6.83745394135923e+01dB,-8.81597146679888e+01°)
2.63026799189536e+02	(6.81748455136352e+01dB,-8.82410395733308e+01°)
2.69153480392690e+02	(6.79751261975017e+01dB,-8.83214380532762e+01°)
2.75422870333815e+02	(6.77753820559412e+01dB,-8.84009520911963e+01°)
2.81838293126443e+02	(6.75756136276020e+01dB,-8.84796232278968e+01°)
2.88403150312659e+02	(6.73758214001384e+01dB,-8.85574925809941e+01°)
2.95120922666637e+02	(6.71760058112117e+01dB,-8.86346008635339e+01°)
3.01995172040200e+02	(6.69761672494032e+01dB,-8.87109884024439e+01°)
3.09029543251357e+02	(6.67763060550042e+01dB,-8.87866951582361e+01°)
3.16227766016836e+02	(6.65764225207291e+01dB,-8.88617607427145e+01°)
3.23593656929626e+02	(6.63765168923210e+01dB,-8.89362244378339e+01°)
3.31131121482589e+02	(6.61765893690494e+01dB,-8.90101252150062e+01°)
3.38844156139200e+02	(6.59766401041462e+01dB,-8.90835017510543e+01°)
3.46736850452529e+02	(6.57766692051132e+01dB,-8.91563924484569e+01°)
3.54813389233573e+02	(6.55766767339455e+01dB,-8.92288354528109e+01°)
3.63078054770099e+02	(6.53766627072781e+01dB,-8.93008686699940e+01°)
3.71535229097170e+02	(6.51766270964133e+01dB,-8.93725297847031e+01°)
3.80189396320558e+02	(6.49765698272853e+01dB,-8.94438562771052e+01°)
3.89045144994278e+02	(6.47764907802962e+01dB,-8.95148854414094e+01°)
3.98107170553494e+02	(6.45763897900917e+01dB,-8.95856544022059e+01°)
4.07380277804110e+02	(6.43762666452261e+01dB,-8.96562001319985e+01°)
4.16869383470332e+02	(6.41761210877317e+01dB,-8.97265594687661e+01°)
4.26579518801589e+02	(6.39759528126156e+01dB,-8.97967691307928e+01°)
4.36515832240163e+02	(6.37757614672200e+01dB,-8.98668657362932e+01°)
4.46683592150960e+02	(6.35755466505272e+01dB,-8.99368858177968e+01°)
4.57088189614872e+02	(6.33753079123453e+01dB,-9.00068658396139e+01°)
4.67735141287195e+02	(6.31750447524086e+01dB,-9.00768422123727e+01°)
4.78630092322635e+02	(6.29747566193434e+01dB,-9.01468513118689e+01°)
4.89778819368442e+02	(6.27744429095789e+01dB,-9.02169294927281e+01°)
5.01187233627268e+02	(6.25741029661282e+01dB,-9.02871131041920e+01°)
5.12861383991361e+02	(6.23737360772541e+01dB,-9.03574385068413e+01°)
5.24807460249769e+02	(6.21733414750453e+01dB,-9.04279420869360e+01°)
5.37031796370249e+02	(6.19729183338798e+01dB,-9.04986602711406e+01°)
5.49540873857620e+02	(6.17724657687483e+01dB,-9.05696295431583e+01°)
5.62341325190345e+02	(6.15719828335174e+01dB,-9.06408864552813e+01°)
5.75439937337152e+02	(6.13714685189982e+01dB,-9.07124676462242e+01°)
5.88843655355584e+02	(6.11709217509621e+01dB,-9.07844098525724e+01°)
6.02559586074353e+02	(6.09703413879948e+01dB,-9.08567499233692e+01°)
6.16595001861477e+02	(6.07697262192224e+01dB,-9.09295248340803e+01°)
6.30957344480188e+02	(6.05690749619150e+01dB,-9.10027716993592e+01°)
6.45654229034650e+02	(6.03683862589606e+01dB,-9.10765277854325e+01°)
6.60693448007591e+02	(6.01676586761671e+01dB,-9.11508305239259e+01°)
6.76082975391976e+02	(5.99668906994714e+01dB,-9.12257175218354e+01°)
6.91830970918931e+02	(5.97660807319441e+01dB,-9.13012265753776e+01°)
7.07945784384132e+02	(5.95652270906905e+01dB,-9.13773956795979e+01°)
7.24435960074984e+02	(5.93643280035604e+01dB,-9.14542630398033e+01°)
7.41310241300911e+02	(5.91633816057235e+01dB,-9.15318670811495e+01°)
7.58577575029177e+02	(5.89623859360496e+01dB,-9.16102464590123e+01°)
7.76247116628685e+02	(5.87613389333438e+01dB,-9.16894400675254e+01°)
7.94328234724275e+02	(5.85602384323900e+01dB,-9.17694870482391e+01°)
8.12830516164092e+02	(5.83590821598402e+01dB,-9.18504267964829e+01°)
8.31763771102664e+02	(5.81578677298427e+01dB,-9.19322989717956e+01°)
8.51138038202369e+02	(5.79565926396019e+01dB,-9.20151434996621e+01°)
8.70963589956073e+02	(5.77552542646500e+01dB,-9.20990005783727e+01°)
8.91250938133738e+02	(5.75538498539022e+01dB,-9.21839106858705e+01°)
9.12010839355902e+02	(5.73523765245959e+01dB,-9.22699145799392e+01°)
9.33254300796983e+02	(5.71508312569637e+01dB,-9.23570533006572e+01°)
9.54992586021428e+02	(5.69492108886666e+01dB,-9.24453681731637e+01°)
9.77237220955802e+02	(5.67475121090300e+01dB,-9.25349008080743e+01°)
9.99999999999991e+02	(5.65457314531007e+01dB,-9.26256930969599e+01°)
1.02329299228075e+03	(5.63438652953971e+01dB,-9.27177872119152e+01°)
1.04712854805089e+03	(5.61419098434586e+01dB,-9.28112256008565e+01°)
1.07151930523760e+03	(5.59398611311385e+01dB,-9.29060509824005e+01°)
1.09647819614318e+03	(5.57377150117268e+01dB,-9.30023063350740e+01°)
1.12201845430195e+03	(5.55354671507060e+01dB,-9.31000348912795e+01°)
1.14815362149687e+03	(5.53331130183338e+01dB,-9.31992801249283e+01°)
1.17489755493952e+03	(5.51306478820090e+01dB,-9.33000857355104e+01°)
1.20226443461740e+03	(5.49280667982592e+01dB,-9.34024956359427e+01°)
1.23026877081237e+03	(5.47253646046333e+01dB,-9.35065539304962e+01°)
1.25892541179416e+03	(5.45225359111902e+01dB,-9.36123048969298e+01°)
1.28824955169312e+03	(5.43195750918579e+01dB,-9.37197929605023e+01°)
1.31825673855640e+03	(5.41164762754345e+01dB,-9.38290626696597e+01°)
1.34896288259164e+03	(5.39132333364429e+01dB,-9.39401586640435e+01°)
1.38038426460287e+03	(5.37098398856468e+01dB,-9.40531256435998e+01°)
1.41253754462274e+03	(5.35062892603879e+01dB,-9.41680083312356e+01°)
1.44543977074591e+03	(5.33025745146972e+01dB,-9.42848514316914e+01°)
1.47910838816819e+03	(5.30986884091284e+01dB,-9.44036995888869e+01°)
1.51356124843619e+03	(5.28946234004037e+01dB,-9.45245973381078e+01°)
1.54881661891247e+03	(5.26903716309353e+01dB,-9.46475890505442e+01°)
1.58489319246110e+03	(5.24859249180537e+01dB,-9.47727188777773e+01°)
1.62181009735891e+03	(5.22812747431008e+01dB,-9.49000306902374e+01°)
1.65958690743754e+03	(5.20764122404700e+01dB,-9.50295680067727e+01°)
1.69824365246173e+03	(5.18713281863313e+01dB,-9.51613739262527e+01°)
1.73780082874936e+03	(5.16660129875659e+01dB,-9.52954910421782e+01°)
1.77827941003891e+03	(5.14604566703023e+01dB,-9.54319613636121e+01°)
1.81970085860997e+03	(5.12546488686039e+01dB,-9.55708262228973e+01°)
1.86208713666285e+03	(5.10485788133067e+01dB,-9.57121261725581e+01°)
1.90546071796323e+03	(5.08422353204884e+01dB,-9.58559008890454e+01°)
1.94984459975803e+03	(5.06356067805810e+01dB,-9.60021890516447e+01°)
1.99526231496886e+03	(5.04286811472053e+01dB,-9.61510282278032e+01°)
2.04173794466951e+03	(5.02214459263086e+01dB,-9.63024547471746e+01°)
2.08929613085402e+03	(5.00138881659470e+01dB,-9.64565035569364e+01°)
2.13796208950221e+03	(4.98059944457824e+01dB,-9.66132080870792e+01°)
2.18776162394953e+03	(4.95977508675377e+01dB,-9.67726000913865e+01°)
2.23872113856832e+03	(4.93891430456983e+01dB,-9.69347094865860e+01°)
2.29086765276775e+03	(4.91801560989354e+01dB,-9.70995641790395e+01°)
2.34422881531990e+03	(4.89707746420752e+01dB,-9.72671898854445e+01°)
2.39883291901947e+03	(4.87609827791984e+01dB,-9.74376099354219e+01°)
2.45470891568501e+03	(4.85507640968930e+01dB,-9.76108450830038e+01°)
2.51188643150955e+03	(4.83401016597677e+01dB,-9.77869132771210e+01°)
2.57039578276884e+03	(4.81289780057816e+01dB,-9.79658294552633e+01°)
2.63026799189535e+03	(4.79173751439560e+01dB,-9.81476052999358e+01°)
2.69153480392689e+03	(4.77052745528284e+01dB,-9.83322490018686e+01°)
2.75422870333814e+03	(4.74926571808701e+01dB,-9.85197650031520e+01°)
2.81838293126442e+03	(4.72795034484461e+01dB,-9.87101537361329e+01°)
2.88403150312658e+03	(4.70657932518671e+01dB,-9.89034113469625e+01°)
2.95120922666635e+03	(4.68515059696160e+01dB,-9.90995294089633e+01°)
3.01995172040198e+03	(4.66366204704512e+01dB,-9.92984946340725e+01°)
3.09029543251356e+03	(4.64211151241515e+01dB,-9.95002885713408e+01°)
3.16227766016835e+03	(4.62049678155789e+01dB,-9.97048872839616e+01°)
3.23593656929625e+03	(4.59881559603190e+01dB,-9.99122610438616e+01°)
3.31131121482588e+03	(4.57706565248611e+01dB,-1.00122373990049e+02°)
3.38844156139199e+03	(4.55524460484400e+01dB,-1.00335183811424e+02°)
