Freq.	V(a)
Step Information: Cl=1µ  (Step: 1/2)
5.37031796370249e+02	(4.68261494022765e+01dB,1.01445054954999e+02°)
5.49540873857620e+02	(4.66341648350400e+01dB,1.01180757439048e+02°)
5.62341325190345e+02	(4.64418330431478e+01dB,1.00921766263808e+02°)
5.75439937337152e+02	(4.62491684657437e+01dB,1.00667983769256e+02°)
5.88843655355584e+02	(4.60561849890858e+01dB,1.00419312602817e+02°)
6.02559586074353e+02	(4.58628959634610e+01dB,1.00175655812660e+02°)
6.16595001861477e+02	(4.56693142200745e+01dB,9.99369169292834e+01°)
6.30957344480188e+02	(4.54754520875298e+01dB,9.97030000476786e+01°)
6.45654229034650e+02	(4.52813214082792e+01dB,9.94738098960501e+01°)
6.60693448007591e+02	(4.50869335547562e+01dB,9.92492519005204e+01°)
6.76082975391976e+02	(4.48922994451787e+01dB,9.90292322459678e+01°)
6.91830970918931e+02	(4.46974295591372e+01dB,9.88136579282084e+01°)
7.07945784384132e+02	(4.45023339528631e+01dB,9.86024368004175e+01°)
7.24435960074984e+02	(4.43070222740891e+01dB,9.83954776182652e+01°)
7.41310241300911e+02	(4.41115037766366e+01dB,9.81926900770672e+01°)
7.58577575029177e+02	(4.39157873346650e+01dB,9.79939848438349e+01°)
7.76247116628685e+02	(4.37198814564729e+01dB,9.77992735888963e+01°)
7.94328234724275e+02	(4.35237942980209e+01dB,9.76084690097430e+01°)
8.12830516164092e+02	(4.33275336760343e+01dB,9.74214848533554e+01°)
8.31763771102664e+02	(4.31311070807775e+01dB,9.72382359329044e+01°)
8.51138038202369e+02	(4.29345216883640e+01dB,9.70586381456477e+01°)
8.70963589956073e+02	(4.27377843728297e+01dB,9.68826084810766e+01°)
8.91250938133738e+02	(4.25409017176985e+01dB,9.67100650330169e+01°)
9.12010839355902e+02	(4.23438800272730e+01dB,9.65409270044432e+01°)
9.33254300796983e+02	(4.21467253375200e+01dB,9.63751147116050e+01°)
9.54992586021428e+02	(4.19494434265936e+01dB,9.62125495865369e+01°)
9.77237220955802e+02	(4.17520398250184e+01dB,9.60531541759614e+01°)
9.99999999999991e+02	(4.15545198255107e+01dB,9.58968521395164e+01°)
1.02329299228075e+03	(4.13568884924792e+01dB,9.57435682445038e+01°)
1.04712854805089e+03	(4.11591506711533e+01dB,9.55932283611150e+01°)
1.07151930523760e+03	(4.09613109963999e+01dB,9.54457594553081e+01°)
1.09647819614318e+03	(4.07633739012330e+01dB,9.53010895789926e+01°)
1.12201845430195e+03	(4.05653436249892e+01dB,9.51591478603503e+01°)
1.14815362149687e+03	(4.03672242211917e+01dB,9.50198644933120e+01°)
1.17489755493952e+03	(4.01690195651352e+01dB,9.48831707246048e+01°)
1.20226443461740e+03	(3.99707333611851e+01dB,9.47489988394213e+01°)
1.23026877081237e+03	(3.97723691497495e+01dB,9.46172821492766e+01°)
1.25892541179416e+03	(3.95739303140232e+01dB,9.44879549757884e+01°)
1.28824955169312e+03	(3.93754200864606e+01dB,9.43609526341325e+01°)
1.31825673855640e+03	(3.91768415549647e+01dB,9.42362114175742e+01°)
1.34896288259164e+03	(3.89781976688354e+01dB,9.41136685805035e+01°)
1.38038426460287e+03	(3.87794912444975e+01dB,9.39932623196351e+01°)
1.41253754462274e+03	(3.85807249709615e+01dB,9.38749317570572e+01°)
1.44543977074591e+03	(3.83819014150858e+01dB,9.37586169200814e+01°)
1.47910838816819e+03	(3.81830230265855e+01dB,9.36442587242998e+01°)
1.51356124843619e+03	(3.79840921428756e+01dB,9.35317989517888e+01°)
1.54881661891247e+03	(3.77851109936493e+01dB,9.34211802339885e+01°)
1.58489319246110e+03	(3.75860817053231e+01dB,9.33123460293602e+01°)
1.62181009735891e+03	(3.73870063052332e+01dB,9.32052406050150e+01°)
1.65958690743754e+03	(3.71878867256830e+01dB,9.30998090154789e+01°)
1.69824365246173e+03	(3.69887248078015e+01dB,9.29959970817722e+01°)
1.73780082874936e+03	(3.67895223052194e+01dB,9.28937513719234e+01°)
1.77827941003891e+03	(3.65902808875956e+01dB,9.27930191790381e+01°)
1.81970085860997e+03	(3.63910021439740e+01dB,9.26937485006761e+01°)
1.86208713666285e+03	(3.61916875859823e+01dB,9.25958880181609e+01°)
1.90546071796323e+03	(3.59923386508878e+01dB,9.24993870754563e+01°)
1.94984459975803e+03	(3.57929567045083e+01dB,9.24041956575838e+01°)
1.99526231496886e+03	(3.55935430439811e+01dB,9.23102643697681e+01°)
